type,price,position,capital,confidence,stop_loss,take_profit,reason,profit
buy,84280.67,0.0034306135375814267,9714.503881778064,0.6690668666107789,83871.1075,85099.795,signal,
trailing_stop,83907.47,,10002.357984264272,0.0,,,trailing_stop,-1.2803049722253785
buy,84026.62,0.0034909100399064855,9709.028612886865,0.6784095169376158,83671.48428571428,84736.89142857143,signal,
trailing_stop,83986.67,,10002.218522408177,0.65340348024626,,,trailing_stop,-0.13946185609425393
buy,84040.46,0.0032926904701297928,9725.499300660853,0.603856702640396,83872.35464285714,84376.67071428573,signal,
trailing_stop,83849.02,,10001.588169744575,0.6055296551684599,,,trailing_stop,-0.6303526636016552
buy,83873.53,0.00339584560467408,9716.766611545576,0.6329302737415763,83688.97642857142,84242.63714285714,signal,
trailing_stop,83877.76,,10001.602534171483,0.5973641963169722,,,trailing_stop,0.014364426907757522
buy,83793.47,0.003334677393156679,9722.17834406833,0.6223135313025066,83526.23428571428,84327.94142857144,signal,
trailing_stop,83588.01,,10000.917391354285,0.6026989951568831,,,trailing_stop,-0.6851428171979926
buy,83249.36,0.003285151759591937,9727.430609865383,0.6181082130281281,82812.935,84122.21,signal,
trailing_stop,83190.02,,10000.722450448871,0.6726480979246836,,,trailing_stop,-0.19494090541417408
buy,83227.83,0.003538734697100815,9706.201240663464,0.6815916247204266,82886.91392857143,83909.66214285714,signal,
close_long,83084.34,,10000.214677407184,0.654116762295702,,,signal,-0.5077730416870144
buy,83059.35,0.003386491151614205,9718.934923573357,0.6354576549957405,82724.85535714286,83728.33928571429,signal,
close_long,82982.11,,9999.953104830634,0.6316023116915299,,,signal,-0.26157257655069893
buy,82976.56,0.00331286403342277,9725.063043589487,0.6047882523854482,82735.34571428572,83458.98857142855,signal,
trailing_stop,82814.28,,9999.41549325529,0.6459516577795272,,,trailing_stop,-0.5376115753438433
buy,82750.01,0.0034524653952041876,9713.723947277489,0.6421501035165693,82504.82428571429,83240.38142857142,signal,
trailing_stop,82525.26,,9998.639551657718,0.6070843730278366,,,trailing_stop,-0.7759415975721412
