type,price,position,capital,stop_loss,take_profit,reason,profit
buy,95015.82,0.07394015057381816,3512.742018847399,92165.3454,100716.76920000001,signal,
close_long,94755.76,,10518.997180983974,,,signal,-19.228875558228054
buy,94560.0,0.07416100663412277,3506.332393661324,91723.2,100233.6,signal,
close_long,94470.7,,10512.374603091546,,,signal,-6.622577892427379
buy,94059.43,0.07450874128616733,3504.124867697181,91237.64709999999,99702.9958,signal,
close_long,94095.82,,10515.08597618695,,,signal,2.71137309540467
buy,94140.0,0.07446417375672369,3505.028658728982,91315.8,99788.40000000001,signal,
close_long,94454.18,,10538.481130297838,,,signal,23.395154110886928
buy,94222.07,0.07456484544295434,3512.8270434326123,91395.4079,99875.39420000001,signal,
close_long,94005.0,,10522.295339297536,,,signal,-16.185791000302622
buy,94107.17,0.07454122315580938,3507.431779765846,91283.9549,99753.6002,signal,
close_long,93826.59,,10501.38056290448,,,signal,-20.914776393057128
buy,94080.0,0.07441454480516213,3500.460187634827,91257.59999999999,99724.8,signal,
close_long,93879.37,,10486.45077278022,,,signal,-14.929790124260025
buy,93901.25,0.07445020361127759,3495.4835909267395,91084.2125,99535.32500000001,signal,
close_long,93731.67,,10473.825507251819,,,signal,-12.625265528400584
buy,93770.31,0.0744644049717643,3491.2751690839386,90957.2007,99396.5286,signal,
close_long,94484.68,,10527.020644231497,,,signal,53.19513697967892
buy,94153.99,0.07453761399618856,3509.006881410499,91329.37030000001,99803.22940000001,signal,
close_long,94428.58,,10547.48792765871,,,signal,20.467283427213157
buy,94479.28,0.07442540436844078,3515.8293092195718,91644.9016,100148.0368,signal,
close_long,94203.81,,10526.985961517337,,,signal,-20.501966141374467
buy,94261.17,0.07445261544081788,3508.995320505778,91433.3349,99916.8402,signal,
close_long,94180.01,,10520.94338724816,,,signal,-6.042574269177039
buy,94205.85,0.07445357436046106,3506.9811290827192,91379.67450000001,99858.20100000002,signal,
close_long,94069.11,,10510.76260549011,,,signal,-10.180781758049836
buy,94009.51,0.07453687473029848,3503.5875351633686,91189.22469999999,99650.0806,signal,
close_long,93940.77,,10505.63894072115,,,signal,-5.123664768960023
buy,93860.65,0.07461869584127215,3501.8796469070494,91044.8305,99492.289,signal,
close_long,93740.29,,10496.657834489695,,,signal,-8.98110623145556
buy,93952.68,0.07448187629836421,3498.885944829898,91134.09959999999,99589.84079999999,signal,
close_long,93465.62,,10460.380691819813,,,signal,-36.2771426698811
buy,93955.7,0.07422207623252103,3486.7935639399375,91137.029,99593.042,signal,
close_long,96440.0,,10644.770595804264,,,signal,184.38990398445222
buy,96562.94,0.07349106945724909,3548.2568652680875,93666.0518,102356.7164,signal,
close_long,96725.14,,10656.69084727023,,,signal,11.920251465965588
buy,97003.32,0.07323935474421721,3552.2302824234102,94093.2204,102823.51920000001,signal,
close_long,96635.4,,10629.744623872737,,,signal,-26.946223397493334
buy,96418.1,0.07349757375342553,3543.2482079575784,93525.557,102203.18600000002,signal,
close_long,96170.56,,10611.551034465814,,,signal,-18.193589406923554
buy,96593.59,0.07323847634517512,3537.18367815527,93695.78229999999,102389.2054,signal,
close_long,96248.26,,10586.259591429534,,,signal,-25.291443036279453
buy,96469.07,0.0731582298273048,3528.753197143179,93574.9979,102257.21420000002,signal,
