type,price,position,capital,confidence,stop_loss,take_profit,reason,profit
buy,1976.26,0.1387049291166616,9733.34741474675,0.6122797142346523,1967.7510714285715,1993.277857142857,signal,
trailing_stop,1972.89,,10006.99698235172,0.0,,,trailing_stop,-0.4674356111231345
buy,1978.05,0.14278991354547002,9724.551393863103,0.6425940233094407,1969.1571428571428,1995.8357142857144,signal,
trailing_stop,1983.33,,10007.75091309524,0.7642924587747622,,,trailing_stop,0.7539307435200778
buy,1983.19,0.16151445474230816,9687.437061594843,0.7724227736480093,1974.4757142857143,2000.6185714285716,signal,
trailing_stop,1986.35,,10008.261298772226,0.6260928065889059,,,trailing_stop,0.5103856769856703
buy,1988.72,0.13750428579106744,9734.803775533814,0.6119335594857594,1979.6485714285716,2006.8628571428571,signal,
trailing_stop,1986.99,,10008.023416357806,0.646822335179095,,,trailing_stop,-0.23788241441854918
buy,1990.0,0.1379692001212864,9733.464708116446,0.6103747948143978,1982.2910714285715,2005.417857142857,signal,
trailing_stop,1978.19,,10006.394000104374,0.0,,,trailing_stop,-1.629416253432385
buy,1981.19,0.13936970393775744,9730.276136359927,0.6213737124073637,1972.1364285714287,1999.297142857143,signal,
trailing_stop,1980.59,,10006.31037828201,0.6880420690673577,,,trailing_stop,-0.08362182236267347
buy,1977.55,0.14093374576437406,9727.606849345673,0.6231382133250101,1970.3017857142856,1992.0464285714286,signal,
trailing_stop,1971.25,,10005.422495683695,0.594182391560311,,,trailing_stop,-0.8878825983155502
buy,1974.42,0.13670276222048927,9735.513827900317,0.6005587256647069,1965.2539285714286,1992.752142857143,signal,
trailing_stop,1970.23,,10004.849711109991,0.6754232954994088,,,trailing_stop,-0.5727845737038575
buy,1972.51,0.14094950525899064,9726.82540249158,0.6335228197292586,1962.1671428571428,1993.1957142857143,signal,
close_long,1968.19,,10004.240809247272,0.6169220478901709,,,signal,-0.6089018627188306
buy,1972.65,0.1510207358861459,9706.329754601467,0.7013876170187388,1962.6160714285716,1992.7178571428574,signal,
close_long,1968.5,,10003.614073193345,0.6233492084041974,,,signal,-0.6267360539275192
buy,1971.22,0.14374660842745643,9720.257883728975,0.6509342466592389,1961.1842857142856,1991.2914285714287,signal,
trailing_stop,1970.79,,10003.552262151721,0.6643280050376259,,,trailing_stop,-0.06181104162381541
buy,1970.01,0.14743195135847334,9713.109843656015,0.6773082234483587,1959.5707142857143,1990.8885714285714,signal,
trailing_stop,1968.4,,10003.314896710033,0.6212592066193896,,,trailing_stop,-0.23736544168712734
buy,1969.2,0.13879127665341526,9730.007114724129,0.6128010840302762,1959.9875000000002,1987.6249999999998,signal,
trailing_stop,1962.12,,10002.332254471328,0.0,,,trailing_stop,-0.9826422387062015
buy,1969.99,0.159414814774377,9688.286663513953,0.7583082727367294,1959.8239285714285,1990.3221428571428,signal,
trailing_stop,1960.85,,10000.87520306429,0.6354039321645473,,,trailing_stop,-1.4570514070378218
buy,1948.95,0.1358381875711653,9736.133367397468,0.6062822381656683,1934.1142857142859,1978.6214285714286,signal,
take_profit,1978.8,,10004.92997296329,0.7773306398900518,,,take_profit,4.054769898999272
buy,1979.8,0.16538085727761095,9677.508951725074,0.7861274539044103,1973.4785714285713,1992.4428571428573,signal,
trailing_stop,1973.99,,10003.969110182506,0.6544148899145653,,,trailing_stop,-0.9608627807829107
buy,1971.71,0.14896127873602066,9710.260667285907,0.6733284234023619,1964.8492857142858,1985.4314285714288,signal,
trailing_stop,1965.66,,10003.067894446154,0.6906996961049751,,,trailing_stop,-0.9012157363529183
buy,1965.81,0.14191733794298278,9724.08537234446,0.6267283215797208,1958.027857142857,1981.3742857142859,signal,
take_profit,1984.78,,10005.760066346933,0.0,,,take_profit,2.692171900778387
buy,1982.47,0.15670924810715436,9695.088683251943,0.7400770788226397,1973.5967857142857,2000.2164285714284,signal,
trailing_stop,1974.49,,10004.509526547037,0.6610483169133219,,,trailing_stop,-1.2505397998950947
buy,1976.08,0.14300117319988281,9721.927768210213,0.6419612656601136,1967.524642857143,1993.190714285714,signal,
trailing_stop,1985.76,,10005.893777903611,0.6899580590286573,,,trailing_stop,1.3842513565748746
buy,1988.07,0.14954827850358038,9708.581331858999,0.6768467527704785,1983.218214285714,1997.7735714285716,signal,
trailing_stop,1987.41,,10005.7950760398,0.698665985811063,,,trailing_stop,-0.09870186381234129
buy,1985.85,0.14618470397128427,9715.494181658425,0.6547589544781399,1980.5785714285714,1996.3928571428569,signal,
trailing_stop,1986.03,,10005.821389286515,0.6874768657157976,,,trailing_stop,0.026313246714840477
buy,1986.41,0.15111733904910163,9705.640395825989,0.6864455397863093,1981.5992857142858,1996.0314285714287,signal,
trailing_stop,1984.89,,10005.59169093116,0.6895872139681161,,,trailing_stop,-0.22969835535463173
buy,1984.23,0.15073421152309135,9706.500346400697,0.6821628650081389,1979.5692857142858,1993.5514285714287,signal,
take_profit,1993.93,,10007.053812782935,0.0,,,take_profit,1.462121851773993
buy,1999.24,0.15219718913973887,9702.775104367203,0.7200861194857031,1989.7810714285715,2018.157857142857,signal,
trailing_stop,1992.55,,10006.03561358759,0.6612053986022927,,,trailing_stop,-1.0181991953448613
buy,1990.74,0.14976288935710486,9707.896639228828,0.6864127040863401,1984.2614285714285,2003.697142857143,signal,
close_long,1995.32,,10006.721527620846,0.7324314777251972,,,signal,0.6859140332555294
buy,1994.18,0.16023445852073184,9687.185175127974,0.7561809459527844,1988.4353571428571,2005.6692857142857,signal,
trailing_stop,1988.94,,10005.881899058199,0.0,,,trailing_stop,-0.8396285626486363
buy,1990.47,0.13966741499236265,9727.878099538351,0.6139868452652926,1984.9057142857143,2001.5985714285712,signal,
trailing_stop,1985.56,,10005.196132050587,0.0,,,trailing_stop,-0.6857670076125121
buy,1984.49,0.14106380489119782,9725.256421882053,0.6228200157715365,1978.3917857142858,1996.6864285714287,signal,
trailing_stop,1984.74,,10005.23139800181,0.6831971929352167,,,trailing_stop,0.035265951222799456
buy,1983.84,0.15168284599655235,9704.31690080001,0.6921792852604416,1978.2810714285713,1994.9578571428572,signal,
take_profit,1998.61,,10007.471753637179,0.0,,,take_profit,2.2403556353690757
buy,1995.38,0.16222236188887715,9683.776497171351,0.7751613662493825,1988.5585714285717,2009.0228571428572,signal,
trailing_stop,1998.73,,10008.015198549507,0.7531972104522416,,,trailing_stop,0.5434449123277237
buy,1998.96,0.16011397954354153,9687.95375800115,0.7605692776517493,1992.5903571428573,2011.6992857142857,signal,
trailing_stop,1993.5,,10007.140976221199,0.6742482053699299,,,trailing_stop,-0.8742223283077426
buy,1992.77,0.14231921341650539,9723.53151730119,0.6394970154881808,1985.5646428571429,2007.1807142857142,signal,
close_long,1990.52,,10006.820757991012,0.6384579173403577,,,signal,-0.32021823018713713
buy,1985.89,0.14216225553268946,9724.5021563512,0.6326808708003793,1979.3132142857144,1999.0435714285716,signal,
trailing_stop,1979.31,,10005.885330349607,0.5741746541095174,,,trailing_stop,-0.9354276414051187
buy,1980.41,0.14694354795571185,9714.876858542635,0.6621701165438347,1973.9332142857145,1993.3635714285715,signal,
close_long,1984.55,,10006.493676638143,0.7272146067020251,,,signal,0.6083462885366283
buy,1984.69,0.15699156429844666,9694.914088890659,0.7307710523207285,1978.5864285714288,1996.8971428571426,signal,
take_profit,1998.04,,10008.589514021527,0.0,,,take_profit,2.0958373833842487
buy,1994.33,0.16549610589913982,9678.535665143696,0.8014484676418264,1986.5210714285713,2009.9478571428572,signal,
trailing_stop,2002.68,,10009.971406505785,0.6724243299704616,,,trailing_stop,1.3818924842578402
buy,2002.96,0.14908304297571334,9711.36403474715,0.6895362317542222,1995.9832142857144,2016.9135714285715,signal,
trailing_stop,1995.99,,10008.932297696245,0.0,,,trailing_stop,-1.0391088095407262
buy,1995.06,0.14189715492913346,9725.838959783328,0.6322368130348761,1989.1796428571429,2006.820714285714,signal,
take_profit,2010.74,,10011.157245085535,0.779269107085164,,,take_profit,2.224947389288822
buy,2008.04,0.16229708828385328,9685.258199928026,0.7830793671189754,2001.0042857142857,2022.1114285714286,signal,
trailing_stop,2012.63,,10011.902188720758,0.657451982008801,,,trailing_stop,0.7449436352229102
buy,2015.03,0.1391426206235928,9731.5256338856,0.6236389701092268,2008.8460714285716,2027.397857142857,signal,
trailing_stop,2009.1,,10011.07707298046,0.6841347462614792,,,trailing_stop,-0.8251157402979142
buy,2007.1,0.1471287211191542,9715.775016822206,0.6822806966786185,1999.105357142857,2023.0892857142856,signal,
